ISO	name	region_ar6_10
PNG	Papua New Guinea	South-East Asia and developing Pacific
PRY	Paraguay	Latin America and Caribbean
PER	Peru	Latin America and Caribbean
PHL	Philippines	South-East Asia and developing Pacific
PCN	Pitcairn	South-East Asia and developing Pacific
POL	Poland	Europe
PRT	Portugal	Europe
PRI	Puerto Rico	Latin America and Caribbean
QAT	Qatar	Middle East
REU	Réunion	Africa
ROU	Romania	Europe
RUS	Russian Federation	Eurasia
RWA	Rwanda	Africa
BLM	Saint Barthélemy	Latin America and Caribbean
SHN	Saint Helena, Ascension and Tristan da Cunha	Africa
SPM	Saint Pierre and Miquelon	North America
WSM	Samoa	South-East Asia and developing Pacific
SMR	San Marino	Europe
STP	São Tomé and Principe	Africa
SAU	Saudi Arabia	Middle East
SEN	Senegal	Africa
SRB	Serbia	Europe
SYC	Seychelles	Africa
SLE	Sierra Leone	Africa
SGP	Singapore	South-East Asia and developing Pacific
SXM	Sint Maarten (Dutch part)	Latin America and Caribbean
SVK	Slovak Republic	Europe
SVN	Slovenia	Europe
SLB	Solomon Islands	South-East Asia and developing Pacific
SOM	Somalia	Africa
ZAF	South Africa	Africa
SGS	South Georgia and the South Sandwich Islands	Latin America and Caribbean
SSD	South Sudan	Africa
ESP	Spain	Europe
LKA	Sri Lanka	Southern Asia
KNA	St. Kitts and Nevis	Latin America and Caribbean
LCA	St. Lucia	Latin America and Caribbean
MAF	St. Martin (French part)	Latin America and Caribbean
VCT	St. Vincent and the Grenadines	Latin America and Caribbean
SDN	Sudan	Africa
SUR	Suriname	Latin America and Caribbean
SJM	Svalbard and Jan Mayen	Europe
SWZ	Swaziland	Africa
SWE	Sweden	Europe
CHE	Switzerland	Europe
SYR	Syrian Arab Republic	Middle East
TWN	Taiwan, China	Eastern Asia
TJK	Tajikistan	Eurasia
TZA	Tanzania	Africa
THA	Thailand	South-East Asia and developing Pacific
TLS	Timor-Leste	South-East Asia and developing Pacific
TGO	Togo	Africa
TKL	Tokelau	South-East Asia and developing Pacific
TON	Tonga	South-East Asia and developing Pacific
TTO	Trinidad and Tobago	Latin America and Caribbean
TUN	Tunisia	Africa
TUR	Turkey	Europe
TKM	Turkmenistan	Eurasia
TCA	Turks and Caicos Islands	Latin America and Caribbean
TUV	Tuvalu	South-East Asia and developing Pacific
UGA	Uganda	Africa
UKR	Ukraine	Eurasia
ARE	United Arab Emirates	Middle East
GBR	United Kingdom	Europe
USA	United States	North America
UMI	United States Minor Outlying Islands	South-East Asia and developing Pacific
URY	Uruguay	Latin America and Caribbean
UZB	Uzbekistan	Eurasia
VUT	Vanuatu	South-East Asia and developing Pacific
VEN	Venezuela, RB	Latin America and Caribbean
VNM	Vietnam	South-East Asia and developing Pacific
VIR	Virgin Islands (U.S.)	Latin America and Caribbean
WLF	Wallis and Futuna	South-East Asia and developing Pacific
PSE	West Bank and Gaza	Middle East
ESH	Western Sahara	Africa
YEM	Yemen, Rep.	Middle East
ZMB	Zambia	Africa
ZWE	Zimbabwe	Africa
ANT	Netherlands Antilles	Latin America and Caribbean
